datetime,close,volume
2025-01-01,10.00,1000
2025-01-02,10.05,980
2025-01-03,10.10,990
2025-01-04,10.15,995
2025-01-05,10.20,1005
2025-01-06,10.55,1200
2025-01-07,10.90,1280
2025-01-08,11.20,1320
2025-01-09,11.10,950
2025-01-10,10.95,900
2025-01-11,10.75,860
2025-01-12,10.55,820
2025-01-13,10.30,790
2025-01-14,10.10,760
2025-01-15,9.95,740
2025-01-16,10.05,760
2025-01-17,10.30,830
2025-01-18,10.55,910
2025-01-19,10.85,1020
2025-01-20,11.10,1150
2025-01-21,11.35,1230
2025-01-22,11.20,980
2025-01-23,11.00,920
2025-01-24,10.75,870
2025-01-25,10.50,820
2025-01-26,10.25,790
2025-01-27,10.10,770
2025-01-28,10.35,860
2025-01-29,10.70,980
2025-01-30,11.00,1080
